,symbol,address,city,state,zip_code,country,website,industry,sector,business_summary,date_pulled
132,PCB,3701 Wilshire Boulevard,Los Angeles,CA,90010-2871,United States,http://www.paccity.net,Banks—Regional,Financial Services,"PCB Bancorp operates as the bank holding company for Pacific City Bank that provides various banking products and services to individuals, and small and middle market businesses in Southern California. The company offers demand, savings, money market, ...",2020-12-20
133,VCNX,1895 Mount Hope Avenue,Rochester,NY,14620,United States,http://www.vaccinex.com,Biotechnology,Healthcare,"Vaccinex, Inc., a clinical-stage biotechnology company, discovers and develops bio therapeutics to treat serious diseases and conditions with unmet medical needs. The company offers its products for the treatment of cancer, neurodegenerative diseases, ...",2020-12-20
134,MESA,410 North 44th Street,Phoenix,AZ,85008,United States,http://www.mesa-air.com,Airlines,Industrials,"Mesa Air Group, Inc. operates as the holding company for Mesa Airlines, Inc., which provides regional air carrier services under capacity purchase agreements with the American Airlines and the United Airlines. As of September 30, 2020, it operated a fl...",2020-12-20
135,ARDS,5941 Optical Court,San Jose,CA,95138,United States,http://www.aridispharma.com,Biotechnology,Healthcare,"Aridis Pharmaceuticals, Inc., a late-stage biopharmaceutical company, focuses on the discovery and development of targeted immunotherapy using fully human monoclonal antibodies (mAb) to treat life-threatening infections. Its lead product candidate is A...",2020-12-20
136,AAAU,,,,,,,,,"The investment seeks to provide investors with an opportunity to invest in gold through shares, and have the gold securely stored by the Custodial Sponsor; reflecting the performance of the price of gold less the expenses of the trustâs operations is...",2020-12-20
137,SFET,8 Aba Even Street,Herzliya,,4672526,Israel,http://www.safe-t.com,Software—Infrastructure,Technology,"Safe-T Group Ltd. develops and markets cyber security solutions in Israel, North America, the Asia-Pacific, Africa, Europe, and internationally. The company offers on-demand software defined perimeter solutions, which protect access to data and service...",2020-12-20
138,CWK,225 West Wacker Drive,Chicago,IL,60606,United States,http://www.cushmanwakefield.com,Real Estate Services,Real Estate,"Cushman & Wakefield plc provides commercial real estate services under the Cushman & Wakefield brand in the Americas, the Asia Pacific, Europe, the Middle East, and Africa. The company's operating segments include the Americas; Europe, Middle East and ...",2020-12-20
139,CTK,"No.16, Xinlong Road",Shanghai,,201101,China,http://www.cootek.com,Software—Application,Technology,"CooTek (Cayman) Inc. operates as a mobile internet company in the United States, the People's Republic of China, and internationally. Its primary product is TouchPal Smart Input, an input method for mobile devices that supports approximately 110 langua...",2020-12-20
140,FTCH,The Bower,London,,EC1V 9NR,United Kingdom,http://aboutfarfetch.com,Internet Retail,Consumer Cyclical,"Farfetch Limited, through its subsidiary, Farfetch.com Limited, provides an online marketplace for luxury goods in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates in three segments: Digital Platform, Brand Platform, and...",2020-12-20
141,YI,No. 295 ZuChongZhi Road,Shanghai,,201203,China,http://www.111.com.cn,Pharmaceutical Retailers,Healthcare,"111, Inc., through its subsidiaries, operates an integrated online and offline platform in the healthcare market in the People's Republic of China. It operates through two segments, B2B and B2C. The company sells medical and wellness products through o...",2020-12-20
142,NIO,Building 20,Shanghai,,201804,China,http://www.nio.com,Auto Manufacturers,Consumer Cyclical,"NIO Limited designs, manufactures, and sells electric vehicles in the People's Republic of China, Hong Kong, the United States, the United Kingdom, and Germany. The company offers five, six, and seven-seater electric SUVs. It is also involved in the pr...",2020-12-20
143,FVCB,11325 Random Hills Road,Fairfax,VA,22030,United States,http://www.fvcbank.com,Banks—Regional,Financial Services,"FVCBankcorp, Inc. operates as the holding company for FVCbank that provides various banking products and services in Virginia. It offers deposit products, including interest and noninterest-bearing transaction accounts, checking and savings accounts, m...",2020-12-20
144,QTT,XingChuang Technology Center,Shanghai,,200120,China,http://www.qutoutiao.net,Internet Content & Information,Communication Services,"Qutoutiao Inc. operates mobile platforms for the distribution, consumption, and sharing of light entertainment content in the People's Republic of China. The company's flagship product include Qutoutiao, a mobile application that aggregates articles an...",2020-12-20
145,XYF,Aerospace Science and Technology Plaza,Shenzhen,,518067,China,http://www.xiaoyinggroup.com,Credit Services,Financial Services,"X Financial provides personal finance services in the People's Republic of China. The company offers services as an online marketplace connecting borrowers and investors. Its loan product is Xiaoying credit loan, which consists of Xiaoying card loan ca...",2020-12-20
146,ELAN,2500 Innovation Way,Greenfield,IN,46140,United States,http://www.elanco.com,Drug Manufacturers—Specialty & Generic,Healthcare,"Elanco Animal Health Incorporated, an animal health company, innovates, develops, manufactures, and markets products for companion and food animals. It offers companion animal disease prevention products, such as parasiticide and vaccine products that ...",2020-12-20
147,EB,155 5th Street,San Francisco,CA,94103,United States,http://www.eventbrite.com,Software—Application,Technology,"Eventbrite, Inc. operates a ticketing and experience technology platform in the United States and internationally. Its platform integrates components needed to plan, promote, and produce live events that allow creators to reduce friction and costs, inc...",2020-12-20
148,BSVN,1039 NW 63rd Street,Oklahoma City,OK,73116,United States,http://www.bank7.com,Banks—Regional,Financial Services,"Bank7 Corp. operates as a bank holding company for Bank7 that provides banking and financial services to individual and corporate customers in Oklahoma, Kansas, and Texas. It accepts demand, savings, checking, money market, and negotiable order of with...",2020-12-20
149,YMAB,230 Park Avenue,New York,NY,10169,United States,http://www.ymabs.com,Biotechnology,Healthcare,"Y-mAbs Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on the development and commercialization of novel antibody-based therapeutic products for the treatment cancer in the United States. The company develops naxitamab that is i...",2020-12-20
150,GRTS,5959 Horton Street,EmeryVille,CA,94608,United States,http://gritstoneoncology.com,Biotechnology,Healthcare,"Gritstone Oncology, Inc., an immuno-oncology company, engages in developing tumor-specific cancer immunotherapies to fight various cancer types. Its lead product candidate is GRANITE, which is in Phase I/II clinical trial for the treatment of solid tum...",2020-12-20
151,VIOT,"Tower C, Xingang East Road",Guangzhou,,510220,China,http://www.viomi.com.cn,Consumer Electronics,Technology,"Viomi Technology Co., Ltd, through its subsidiaries, develops and sells Internet-of-things-enabled (IoT-enabled) smart home products in the People's Republic of China. The company offers IoT-enabled smart home products, including smart water purificati...",2020-12-20
152,SVMK,One Curiosity Way,San Mateo,CA,94403,United States,http://www.surveymonkey.com,Software—Application,Technology,"SVMK Inc. provides survey software products and purpose-built solutions that enable organizations to engage with their customers, employees, and the markets they research and serve in the United States and internationally. The company's cloud-based Saa...",2020-12-20
153,ETTX,35 Gatehouse Drive,Waltham,MA,02451,United States,http://www.entasistx.com,Biotechnology,Healthcare,"Entasis Therapeutics Holdings Inc., a clinical-stage biopharmaceutical company, focuses on the discovery, development, and commercialization of novel antibacterial products to treat serious infections caused by multi-drug resistant gram-negative bacter...",2020-12-20
154,CBNK,2275 Research Boulevard,Rockville,MD,20850,United States,http://capitalbankmd.com,Banks—Regional,Financial Services,"Capital Bancorp, Inc. operates as the bank holding company for Capital Bank, N.A. that provides various commercial banking products and services to businesses, not-for-profit associations, and entrepreneurs in the United States. It operates through thr...",2020-12-20
155,ARCE,Rua Augusta 2840,SÃ£o Paulo,SP,01412-100,Brazil,http://www.arcoeducacao.com.br,Education & Training Services,Consumer Defensive,"Arco Platform Limited, a technology company in the education sector, provides a pedagogical system with technology-enabled features to deliver educational content to private schools in Brazil. The company's curriculum solutions provide educational cont...",2020-12-20
156,UROV,"11-12 Street, Jamesâs Square",London,,SW1Y 4LB,United Kingdom,http://www.urovant.com,Biotechnology,Healthcare,"Urovant Sciences Ltd., a clinical-stage biopharmaceutical company, focuses on developing and commercializing therapies for urologic conditions in the United States. The company's lead product candidate is vibegron, an oral small molecule beta-3 agonist...",2020-12-20
157,ARVN,5 Science Park,New Haven,CT,06511,United States,http://www.arvinas.com,Biotechnology,Healthcare,"Arvinas, Inc., a clinical-stage biopharmaceutical company, engages in the discovery, development, and commercialization of therapies to degrade disease-causing proteins. The company's lead products include ARV-110, proteolysis targeting chimeras (PROTA...",2020-12-20
158,STRO,310 Utah Avenue,South San Francisco,CA,94080,United States,http://www.sutrobio.com,Biotechnology,Healthcare,"Sutro Biopharma, Inc. operates as clinical stage drug discovery, development, and manufacturing company. It focuses on creating protein therapeutics for cancer and autoimmune disorders through integrated cell-free protein synthesis and site-specific co...",2020-12-20
159,RMED,2070 Las Palmas Drive,Carlsbad,CA,92011,United States,http://www.ramed.com,Medical Devices,Healthcare,"Ra Medical Systems, Inc., a commercial-stage medical device company, develops, manufactures, and markets excimer lasers for use in the treatment of vascular and dermatological immune-mediated inflammatory diseases. The company offers DABRA (destruction...",2020-12-20
160,LAIX,Building B,Shanghai,,200090,China,http://ir.laix.com/investors/our-company/default.aspx,Education & Training Services,Consumer Defensive,"LAIX Inc., an artificial intelligence (AI) company, provides online English learning products and services in the People's Republic of China. It offers English Liulishuo app, which offers a suite of courses, including free courses for leisure learning,...",2020-12-20
161,AXNX,26 Technology Drive,Irvine,CA,92618,United States,http://www.axonics.com,Medical Devices,Healthcare,"Axonics Modulation Technologies, Inc., a medical technology company, engages in the development and commercialization of sacral neuromodulation (SNM) systems in the United States and internationally. The company's SNM systems are used to treat patients...",2020-12-20
162,KOD,2631 Hanover Street,Palo Alto,CA,94304,United States,http://kodiak.com,Biotechnology,Healthcare,"Kodiak Sciences Inc., a clinical stage biopharmaceutical company, provides novel therapeutics to treat retinal diseases. The company's lead product candidate is KSI-301, a vascular endothelial growth factor (VEGF)-biological agent that is in Phase 1b c...",2020-12-20
163,GH,505 Penobscot Drive,Redwood City,CA,94063,United States,http://guardanthealth.com,Diagnostics & Research,Healthcare,"Guardant Health, Inc., a precision oncology company, provides blood tests, data sets, and analytics in the United States and internationally. The company offers liquid biopsy tests for advanced stage cancer, such as Guardant360, a molecular diagnostic ...",2020-12-20
164,EDTXU,22 Soho Square,London,,W1D 4NS,United Kingdom,http://www.edtechxcorp.com,Shell Companies,Financial Services,"EdtechX Holdings Acquisition Corp. II intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses or entities. The company was founded in 2020 and is based in...",2020-12-20
165,ESTC,800 West El Camino Real,Mountain View,CA,94040,United States,http://www.elastic.co,Software—Application,Technology,"Elastic N.V., a search company, delivers technology that enables users to search through structured and unstructured data for a range of consumer and enterprise applications. It primarily offers Elastic Stack, a set of software products that ingest and...",2020-12-20
166,LTHM,2929 Walnut Street,Philadelphia,PA,19104,United States,http://www.livent.com,Specialty Chemicals,Basic Materials,"Livent Corporation manufactures and sells performance lithium based batteries, specialty polymer, and chemical synthesis applications in North America, Latin America, Europe, the Middle East, Africa, and the Asia Pacific. The company offers lithium com...",2020-12-20
167,ALLO,210 East Grand Avenue,South San Francisco,CA,94080,United States,http://www.allogene.com,Biotechnology,Healthcare,"Allogene Therapeutics, Inc., a clinical stage immuno-oncology company, develops and commercializes genetically engineered allogeneic T cell therapies for the treatment of cancer. The company is developing UCART19, an allogeneic chimeric antigen recepto...",2020-12-20
168,EQ,2223 Avenida De La Playa,La Jolla,CA,92037,United States,http://equilliumbio.com,Biotechnology,Healthcare,"Equillium, Inc., a clinical-stage biotechnology company, develops products for autoimmune and inflammatory, or immuno-inflammatory disorders with unmet medical need. Its primary product candidate is itolizumab, a clinical-stage monoclonal antibody that...",2020-12-20
169,DDMXU,Pedregal 24,Mexico City,DF,11040,Mexico,,,,,2020-12-20
170,PLAN,50 Hawthorne Street,San Francisco,CA,94105,United States,http://www.anaplan.com,Software—Infrastructure,Technology,"Anaplan, Inc. provides a cloud-based connected planning platform to connect organizations and people. Its platform unites traditionally distinct or disconnected database structures, including relational, columnar, and online analytical processing with ...",2020-12-20
171,SIBN,471 El Camino Real,Santa Clara,CA,95050,United States,http://si-bone.com,Medical Devices,Healthcare,"SI-BONE, Inc., a medical device company, develops implantable devices used in the surgical treatment of the sacropelvic anatomy in the United States and Internationally. The company offers iFuse, a minimally invasive surgical implant system, which is i...",2020-12-20
172,ORTX,108 Cannon Street,London,,EC4N 6EU,United Kingdom,http://www.orchard-tx.com,Biotechnology,Healthcare,"Orchard Therapeutics plc, a biopharmaceutical company, develops gene therapies for serious and life-threatening rare diseases in the United Kingdom, European Union, and the United States. The company's gene therapy approach seeks to transform a patient...",2020-12-20
173,PHAS,1 Great Valley Parkway,Malvern,PA,19355,United States,http://phasebio.com,Biotechnology,Healthcare,"PhaseBio Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, focuses on the development and commercialization of novel for cardiopulmonary diseases. Its lead product candidate is PB2452, a reversal agent for the antiplatelet drug ticagre...",2020-12-20
174,OSMT,400 Crossing Boulevard,Bridgewater,NJ,08807,United States,http://www.osmotica.com,Biotechnology,Healthcare,"Osmotica Pharmaceuticals plc, an integrated biopharmaceutical company, focuses on the development and commercialization of pharmaceutical products in the United States, Argentina, and Hungary. The company's promoted products include M-72, a methylpheni...",2020-12-20
175,MSC,The Centrium,Central,,,Hong Kong,http://www.studiocity-macau.com,Resorts & Casinos,Consumer Cyclical,"Studio City International Holdings Limited operates a gaming, retail, and entertainment resort in Cotai, Macau. The company also operates Studio City Casino with 250 mass market gaming tables; approximately 947 gaming machines; and 45 VIP rolling chip ...",2020-12-20
176,SWI,Building 400,Austin,TX,78735,United States,http://www.solarwinds.com,Software—Infrastructure,Technology,"SolarWinds Corporation provides information technology (IT) infrastructure management software products in the United States and internationally. It offers products to monitor and manage network, system, desktop, application, storage, and database and ...",2020-12-20
177,NIU,No.1 Building,Beijing,,102208,China,http://www.niu.com,Auto Manufacturers,Consumer Cyclical,"Niu Technologies designs, manufactures, and sells smart electric-scooters in the People's Republic of China. The company offers NQi, MQi, UQi, and Gova series e-scooters; RQi and TQi series urban commuter electric motorcycles; and NIU Aero series profe...",2020-12-20
178,LOGC,65 Hayden Avenue,Lexington,MA,02421,United States,http://www.logicbio.com,Biotechnology,Healthcare,"LogicBio Therapeutics, Inc., a genome editing company, focuses on developing medicines to treat rare diseases in patients with unmet medical need using GeneRide technology platform. The GeneRide technology is designed to integrate corrective genes into...",2020-12-20
179,ALACU,"Room 1001, Capital Center",Wan Chai,,,Hong Kong,http://www.albertoncorp.com,Shell Companies,Financial Services,"Alberton Acquisition Corporation does not have significant operations. It intends to engage in a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization or other similar business combination with one or more target b...",2020-12-20
180,YETI,7601 Southwest Parkway,Austin,TX,78735,United States,http://www.YETI.com,Leisure,Consumer Cyclical,"YETI Holdings, Inc. designs, markets, retails, and distributes products for the outdoor and recreation market under the YETI brand. The company offers hard and soft coolers, as well as storage, transport, outdoor living, and associated accessories. It ...",2020-12-20
181,PT,Heng An Building,Beijing,,,China,http://www.pintec.com,Credit Services,Financial Services,"Pintec Technology Holdings Limited, through with its subsidiaries, operates an online technology platform that enables financial services in the People's Republic of China. The company connects business partners and financial partners on its platform a...",2020-12-20
182,STNE,Harbour Place,George Town,,KY1-1002,Cayman Islands,http://www.stone.co,Software—Application,Technology,"StoneCo Ltd. provides financial technology solutions to clients and integrated partners to conduct electronic commerce across in-store, online, and mobile channels in Brazil. It distributes its solutions, principally through proprietary Stone Hubs, whi...",2020-12-20
183,GMDA,5 Nahum Heftsadie Street,Jerusalem,,91340,Israel,http://www.gamida-cell.com,Biotechnology,Healthcare,"Gamida Cell Ltd., a clinical-stage biopharmaceutical company, develops cell therapies to cure blood cancers and serious blood diseases. The company's lead product candidate is omidubicel, a nicotinamide expanded hematopoietic stem cells and differentia...",2020-12-20
184,TWST,681 Gateway Boulevard,South San Francisco,CA,94080,United States,http://www.twistbioscience.com,Diagnostics & Research,Healthcare,"Twist Bioscience Corporation, a synthetic biology company, manufactures and sells synthetic DNA-based products. The company's DNA synthesis platform enables the manufacturing of synthetic DNA by writing DNA on a silicon chip. It offers synthetic DNA-ba...",2020-12-20
185,UPWK,2625 Augustine Drive,Santa Clara,CA,95054,United States,http://www.upwork.com,Staffing & Employment Services,Industrials,"Upwork Inc. operates an online talent marketplace that enables businesses (clients) to find and work with various independent professionals and agencies (freelancers) in the United States, India, the Philippines, and internationally. The company's plat...",2020-12-20
186,MDRR,1051 East Cary Street,Richmond,VA,23219,United States,http://www.medalistreit.com,REIT—Diversified,Real Estate,"Medalist Diversified REIT Inc. is a Maryland corporation formed on September 28, 2015. Beginning with our taxable year ended December 31, 2017, we believe that we have operated in a manner qualifying us as a real estate investment trust (ÂREITÂ), and...",2020-12-20
187,TLC,No. 3 Yuanqu Street,Taipei,,11503,Taiwan,http://www.tlcbio.com,Biotechnology,Healthcare,"Taiwan Liposome Company, Ltd., a clinical-stage specialty pharmaceutical company, engages in the development and commercialization of nanomedicines that combine its proprietary lipid-assembled drug delivery platform with approved active pharmaceutical ...",2020-12-20
188,TLSA,55 Park Lane,London,,W1K 1NA,United Kingdom,http://www.tizianalifesciences.com,Biotechnology,Healthcare,"Tiziana Life Sciences Plc, a clinical stage biotechnology company, focuses on the discovery and development of molecules and related diagnostics to treat diseases in oncology and immunology in the United Kingdom. The company's product pipeline includes...",2020-12-20
189,TC,Ruihai Building,Beijing,,100038,China,http://www.tuanche.com,Internet Content & Information,Communication Services,"TuanChe Limited, through with its subsidiaries, operates as an omni-channel automotive marketplace in China. It organizes auto shows and group-purchase events that attract various consumers; and provides integrated marketing solutions to industry custo...",2020-12-20
190,AMCIU,1501 Ligonier Street,Latrobe,PA,15650,United States,http://www.amciacquisition.com,Shell Companies,Financial Services,"AMCI Acquisition Corp. does not have significant operations. It intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses operating in the natural ...",2020-12-20
191,WEI,No. 9 Baiyun Road,Hangzhou,,,China,http://www.weidai.com.cn,Credit Services,Financial Services,"Weidai Ltd., through its subsidiaries, provides auto-backed financing solutions in the People's Republic of China. Its auto-backed financing platform connects borrowers primarily small and micro enterprise owners with online investors and institutional...",2020-12-20
192,VAPO,100 Domain Drive,Exeter,NH,03833,United States,http://www.vapotherm.com,Medical Devices,Healthcare,"Vapotherm, Inc., a medical technology company, focuses on the development and commercialization of proprietary Hi-VNI technology products used to treat patients of various ages suffering from respiratory distress worldwide. The company offers precision...",2020-12-20
193,ETON,21925 West Field Parkway,Deer Park,IL,60010-7208,United States,http://www.etonpharma.com,Biotechnology,Healthcare,"Eton Pharmaceuticals, Inc., a specialty pharmaceutical company, focuses on developing and commercializing pharmaceutical products. The company offers Biorphen, a phenylephrine hydrochloride injection for the treatment of clinically important hypotensio...",2020-12-20
194,CNF,Tower G,Guangzhou,,510620,China,http://www.cashchina.cn,Mortgage Finance,Financial Services,"CNFinance Holdings Limited, through its subsidiaries, provides home equity loan services in the People's Republic of China. It offers micro credit loan services for micro and small-enterprise owners, and loan lending agency services for banks. The comp...",2020-12-20
195,PHCF,W1 Office Building,Beijing,,100006,China,http://www.puhuiwealth.com,Asset Management,Financial Services,"Puhui Wealth Investment Management Co., Ltd., through its subsidiaries, provides third-party wealth management services in the People's Republic of China. The company markets financial products, such as private equity funds, securities investment funds...",2020-12-20
196,AMTB,220 Alhambra Circle,Coral Gables,FL,33134,United States,http://www.amerantbank.com,Banks—Regional,Financial Services,"Amerant Bancorp Inc. operates as the bank holding company for Amerant Bank, N.A. that provides banking products and services to individuals and businesses in the United States and internationally. It offers a range of checking and savings accounts, cer...",2020-12-20
197,APM,17 Hanover Square,London,,W1S 1BN,United Kingdom,http://www.aptorumgroup.com,Biotechnology,Healthcare,"Aptorum Group Limited, a pharmaceutical company, engages in the discovery, development, and commercialization of therapeutic assets to treat diseases with unmet medical needs, particularly infectious diseases and cancers. Its pipeline through the estab...",2020-12-20
198,LEGH,1600 Airport Freeway,Bedford,TX,76022,United States,http://www.legacyhousingcorp.com,Residential Construction,Consumer Cyclical,"Legacy Housing Corporation builds, sells, and finances manufactured homes and tiny houses primarily in the southern United States. The company manufactures and provides for the transport of mobile homes; and offers wholesale financing to dealers and mo...",2020-12-20
199,TME,Matsunichi Building,Shenzhen,,518057,China,http://www.tencentmusic.com,Internet Content & Information,Communication Services,"Tencent Music Entertainment Group operates online music entertainment platforms that provides music streaming, online karaoke, and live streaming services in the People's Republic of China. It offers QQ Music, Kugou Music, and Kuwo Music that enable us...",2020-12-20
200,SAMAU,800 Westchester Avenue,Rye Brook,NY,10573,United States,http://www.samcospac.com,Shell Companies,Financial Services,"As of December 18, 2020, Schultze Special Purpose Acquisition Corp. was acquired by Ecomedics S.A.S., in a reverse merger transaction. Schultze Special Purpose Acquisition Corp does not have significant operations. It intends to effect a merger, capita...",2020-12-20
201,DMAC,2 Carlson Parkway,Minneapolis,MN,55447,United States,http://www.diamedica.com,Biotechnology,Healthcare,"DiaMedica Therapeutics Inc., a clinical stage biopharmaceutical company, focuses on the development and commercialization of recombinant proteins for the treatment of kidney and neurological diseases. Its lead drug candidate is DM199, a recombinant hum...",2020-12-20
202,MRNA,200 Technology Square,Cambridge,MA,02139,United States,http://www.modernatx.com,Biotechnology,Healthcare,"Moderna, Inc., a clinical stage biotechnology company, develops therapeutics and vaccines based on messenger RNA for the treatment of infectious diseases, immuno-oncology, rare diseases, and cardiovascular diseases. As of February 15, 2019 the company ...",2020-12-20
203,MOGU,Building No. 1,Hangzhou,,310012,China,http://www.mogu-inc.com,Internet Retail,Consumer Cyclical,"MOGU Inc., through its subsidiaries, operates in the online fashion and lifestyle business in the People's Republic of China. The company operates an online platform that primarily offers a range of fashion apparel and other products provided by third ...",2020-12-20
204,NFE,111 West 19th Street,New York,NY,10011,United States,http://www.newfortressenergy.com,Utilities—Regulated Gas,Utilities,"New Fortress Energy Inc. operates as an integrated energy infrastructure company worldwide. It funds, builds, and operates natural gas infrastructure and logistics to deliver integrated turnkey energy solutions that enhance environmental stewardship an...",2020-12-20
205,ANDAU,Calle 113,BogotÃ¡,,,Colombia,,Shell Companies,Financial Services,"Andina Acquisition Corp. III does not have significant operations. It intends to effect a merger, share exchange, asset acquisition, share purchase, recapitalization, reorganization or other similar business combination with one or more businesses or e...",2020-12-20
206,MDJH,Saidun Center,Tianjin,,,China,http://www.mdjhchina.com,Real Estate Services,Real Estate,"MDJM Ltd., through its subsidiaries and variable interest entity, operates as an integrated real estate services company in the People's Republic of China. It offers real estate agency services to real estate developers; and real estate consulting serv...",2020-12-20
207,MTC,Air China Century Building,Beijing,,100020,China,http://www.51mm.com,Software—Application,Technology,"Mmtec, Inc. develops and deploys platforms that enable financial institutions to engage in securities market transactions and settlements in the People's Republic of China. It offers Internet-based securities solutions comprising Securities Dealers Tra...",2020-12-20
208,SXTC,No.178 North Taidong Road,Taizhou,,225300,China,http://www.sxtchina.com,Drug Manufacturers—Specialty & Generic,Healthcare,"China SXT Pharmaceuticals, Inc., a pharmaceutical company, engages in the research, development, manufacture, marketing, and sale of traditional Chinese medicine piece tablets (TCMP) in China. It offers advanced, fine, and regular TCMP products, such a...",2020-12-20
209,KLDO,65 Hayden Avenue,Lexington,MA,02421,United States,http://www.kaleido.com,Biotechnology,Healthcare,"Kaleido Biosciences, Inc., a clinical-stage healthcare company, develops microbiome metabolic therapies. The company offers product candidates for the treatment of urea cycle disorders; hepatic encephalopathy; infections caused by multi-drug resistant ...",2020-12-20
210,INMB,1200 Prospect Street,La Jolla,CA,92037,United States,http://www.inmunebio.com,Biotechnology,Healthcare,"INmune Bio, Inc., a clinical-stage immunotherapy company, focuses on reprogramming the patient's innate immune system to treat cancer Alzheimer's disease, and non-alcoholic steatohepatitis. The company intends to develop and commercialize product candi...",2020-12-20
211,MNCLU,750 Lexington Avenue,New York,NY,10022,United States,,Shell Companies,Financial Services,"Monocle Acquisition Corporation does not significant operations. The company focuses on effecting a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization, or similar business combination with one or more businesses...",2020-12-20
212,ALEC,131 Oyster Point Boulevard,South San Francisco,CA,94080,United States,http://www.alector.com,Biotechnology,Healthcare,"Alector, Inc., a clinical stage biopharmaceutical company, develops therapies for the treatment of neurodegeneration diseases. Its products include AL001, a humanized recombinant monoclonal antibody, which is in phase II clinical trial for the treatmen...",2020-12-20
213,HARP,4000 Shoreline Court,South San Francisco,CA,94080,United States,http://www.harpoontx.com,Biotechnology,Healthcare,"Harpoon Therapeutics, Inc., a clinical-stage immunotherapy company, engages in the development of a novel class of T cell engagers that harness the power of the body's immune system to treat patients suffering from cancer and other diseases in the Unit...",2020-12-20
214,GOSS,3013 Science Park Road,San Diego,CA,92121,United States,http://www.gossamerbio.com,Biotechnology,Healthcare,"Gossamer Bio, Inc., a clinical-stage biopharmaceutical company, focuses on discovering, acquiring, developing, and commercializing therapeutics in the disease areas of immunology, inflammation, and oncology in the United States. It is developing GB001,...",2020-12-20
215,ANCN,One Kendall Square,Cambridge,MA,02139,United States,http://www.anchiano.com,Biotechnology,Healthcare,"Anchiano Therapeutics Ltd., a preclinical biotechnology company, discovers, develops, and commercializes small molecule anti-cancer therapies. It primarily develops Pan-RAS Program that identifies novel indene-based small molecules that exhibit potent ...",2020-12-20
216,IMAC,1605 Westgate Circle,Brentwood,TN,37027,United States,http://www.imacregeneration.com,Medical Care Facilities,Healthcare,"IMAC Holdings, Inc. provides orthopedic therapies through a chain of innovative medical advancements and care regeneration centers in the United States. Its outpatient medical clinics provide regenerative, orthopedic, and minimally invasive procedures ...",2020-12-20
217,TCRR,100 Binney Street,Cambridge,MA,02142,United States,http://www.tcr2.com,Biotechnology,Healthcare,"TCR2 Therapeutics Inc., a clinical-stage immunotherapy company, develops novel T cell receptor therapies for patients suffering from cancer. The company's lead product candidates include TC-210, mono TCR Fusion Construct T cells (TRuC-T cells) targetin...",2020-12-20
218,HOTH,1 Rockefeller Plaza,New York,NY,10020,United States,http://www.hoththerapeutics.com,Biotechnology,Healthcare,"Hoth Therapeutics, Inc., a biopharmaceutical company, focuses on developing therapies for dermatological disorders. The company focuses on therapies for patients suffering from indications, including eczema, chronic wounds, psoriasis, asthma, and acne....",2020-12-20
219,MITO,190 Elgin Avenue,George Town,,KY1-9005,Cayman Islands,http://www.stealthbt.com,Biotechnology,Healthcare,"Stealth BioTherapeutics Corp, a clinical-stage biotechnology company, focuses on the discovery, development, and commercialization of therapies for diseases involving mitochondrial dysfunction. Its lead product candidate, Elamipretide, has the potentia...",2020-12-20
220,SOLY,5304 Ashbrook Drive,Houston,TX,77081,United States,http://www.soliton.com,Medical Devices,Healthcare,"Soliton, Inc., a medical device company, develops and commercializes products using a proprietary rapid acoustic pulse technology platform. The company offers product for the removal of tattoos. It also develops product for cellulite reduction, fibroti...",2020-12-20
221,ACAMU,1450 Brickell Avenue,Miami,FL,33131,United States,http://www.acamarpartners.com,Shell Companies,Financial Services,"Acamar Partners Acquisition Corp. does not have significant operations. It intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses in the consume...",2020-12-20
222,SLGG,2912 Colorado Avenue,Santa Monica,CA,90404,United States,http://www.superleague.com,Electronic Gaming & Multimedia,Communication Services,"Super League Gaming, Inc. operates an amateur esports content network. The company engages in capturing, generating, aggregating, and distributing content in various esports through social media, live streaming, and video-on-demand, as well as continuo...",2020-12-20
223,LYFT,185 Berry Street,San Francisco,CA,94107,United States,http://www.lyft.com,Software—Application,Technology,"Lyft, Inc. operates a peer-to-peer marketplace for on-demand ridesharing in the United States and Canada. The company offers riders, personalized and on-demand access to various transportation options. It provides Ridesharing Marketplace, which enable ...",2020-12-20
224,PUYI,Pearl River Tower,Guangzhou,,510620,China,http://www.puyiwm.com,Asset Management,Financial Services,Puyi Inc. provides third-party wealth management services in China. The company distributes publicly raised fund products through online; and privately raised fund products offline through its branch network. It also provides asset management services ...,2020-12-20
225,DTIL,302 East Pettigrew Street,Durham,NC,27701,United States,http://www.precisionbiosciences.com,Biotechnology,Healthcare,"Precision BioSciences, Inc., a genome editing company, develops therapeutic products in the United States. The company operates through two segments, Therapeutic and Food. It offers ARCUS, a genome-editing platform to cure cancers and genetic disorders...",2020-12-20
